date,daily_sales
2017-10-11,30549.4
2017-10-12,29657.95
2017-10-13,32865.89
2017-10-14,18681.04
2017-10-15,25186.37
2017-10-16,41087.86
2017-10-17,69963.77
2017-10-18,43583.75
2017-10-19,32091.57
2017-10-20,24154.62
2017-10-21,22051.79
2017-10-22,28437.37
2017-10-23,35550.77
2017-10-24,35287.73
2017-10-25,27506.99
2017-10-26,37252.840000000004
2017-10-27,33447.15
2017-10-28,21876.48
2017-10-29,28445.27
2017-10-30,31949.06
2017-10-31,38743.88
2017-11-01,31581.23
2017-11-02,29639.13
2017-11-03,38102.0
2017-11-04,40475.17
2017-11-05,25711.83
2017-11-06,40475.51
2017-11-07,30632.010000000002
2017-11-08,32076.66
2017-11-09,38086.82
2017-11-10,32599.57
2017-11-11,31974.670000000002
2017-11-12,31114.34
2017-11-13,37075.17
2017-11-14,37709.37
2017-11-15,33843.93
2017-11-16,42258.32
2017-11-17,49690.090000000004
2017-11-18,35616.55
2017-11-19,27474.65
2017-11-20,62447.66
2017-11-21,53844.27
2017-11-22,43157.11
2017-11-23,80725.91
2017-11-24,259712.44
2017-11-25,96260.62
2017-11-26,69761.23
2017-11-27,80771.62
2017-11-28,81453.03
2017-11-29,57537.87
2017-11-30,43197.26
2017-12-01,57765.57
2017-12-02,39288.28
2017-12-03,42938.92
2017-12-04,63197.87
2017-12-05,53858.89
2017-12-06,58457.9
2017-12-07,42663.2
2017-12-08,39814.79
2017-12-09,25482.73
2017-12-10,32112.34
2017-12-11,44693.49
2017-12-12,47747.76
2017-12-13,57425.67
2017-12-14,32906.09
2017-12-15,38454.78
2017-12-16,26167.17
2017-12-17,25547.829999999998
2017-12-18,40501.89
2017-12-19,28985.59
2017-12-20,39472.63
2017-12-21,23468.1
2017-12-22,21633.23
2017-12-23,17211.87
2017-12-24,7373.41
2017-12-25,14942.36
2017-12-26,27678.52
2017-12-27,25253.53
2017-12-28,19610.17
2017-12-29,23266.3
2017-12-30,17388.92
2017-12-31,10913.35
2018-01-01,9863.77
2018-01-02,35947.09
2018-01-03,42933.7
2018-01-04,45352.86
2018-01-05,41810.24
2018-01-06,47725.58
2018-01-07,41294.45
2018-01-08,58436.55
2018-01-09,44065.1
2018-01-10,65117.770000000004
2018-01-11,75377.67
2018-01-12,52789.91
2018-01-13,36681.3
2018-01-14,41220.98
2018-01-15,57469.17
2018-01-16,69517.92
2018-01-17,45591.7
2018-01-18,40684.29
2018-01-19,41078.840000000004
2018-01-20,32802.94
2018-01-21,32607.28
2018-01-22,54798.2
2018-01-23,51540.35
2018-01-24,45877.05
2018-01-25,41966.65
2018-01-26,47998.6
2018-01-27,34134.92
2018-01-28,31534.14
2018-01-29,48252.73
2018-01-30,59240.05
2018-01-31,44766.71
2018-02-01,61964.799999999996
2018-02-02,45996.45
2018-02-03,31100.69
2018-02-04,33708.64
2018-02-05,53904.96
2018-02-06,52990.68
2018-02-07,44956.04
2018-02-08,39253.39
2018-02-09,40133.68
2018-02-10,30369.36
2018-02-11,34266.45
2018-02-12,38653.020000000004
2018-02-13,37407.48
2018-02-14,59027.88
2018-02-15,45274.54
2018-02-16,43526.83
2018-02-17,34931.43
2018-02-18,36890.81
2018-02-19,44210.48
2018-02-20,47390.04
2018-02-21,54648.86
2018-02-22,98501.3
2018-02-23,37995.98
2018-02-24,32311.14
2018-02-25,46992.72
2018-02-26,59269.04
2018-02-27,71757.77
2018-02-28,64599.3
2018-03-01,65113.65
2018-03-02,46706.69
2018-03-03,35432.03
2018-03-04,41043.75
2018-03-05,70106.2
2018-03-06,55262.34
2018-03-07,53959.15
2018-03-08,48791.61
2018-03-09,41677.81
2018-03-10,43213.14
2018-03-11,41904.55
2018-03-12,41882.68
2018-03-13,52535.02
2018-03-14,38894.05
2018-03-15,62386.3
2018-03-16,52820.42
2018-03-17,31782.55
2018-03-18,40495.69
2018-03-19,77507.24
2018-03-20,55309.88
2018-03-21,51927.58
2018-03-22,45534.25
2018-03-23,46623.4
2018-03-24,33897.86
2018-03-25,40315.16
2018-03-26,54094.64
2018-03-27,58102.46
2018-03-28,39853.95
2018-03-29,39005.66
2018-03-30,33928.18
2018-03-31,42116.2
2018-04-01,42001.63
2018-04-02,69675.46
2018-04-03,50164.67
2018-04-04,53841.52
2018-04-05,51926.12
2018-04-06,41453.73
2018-04-07,34589.64
2018-04-08,33956.05
2018-04-09,68486.5
2018-04-10,39260.1
2018-04-11,55581.31
2018-04-12,51515.1
2018-04-13,48453.62
2018-04-14,32613.75
2018-04-15,47998.52
2018-04-16,59102.7
2018-04-17,64756.67
2018-04-18,57858.79
2018-04-19,88210.18
2018-04-20,41908.68
2018-04-21,25376.7
2018-04-22,39765.64
2018-04-23,52859.87
2018-04-24,65026.71
2018-04-25,56619.88
2018-04-26,47517.27
2018-04-27,64741.87
2018-04-28,33471.979999999996
2018-04-29,27422.29
2018-04-30,53183.75
2018-05-01,43424.02
2018-05-02,58925.37
2018-05-03,65973.5
2018-05-04,55948.64
2018-05-05,40709.37
2018-05-06,38080.3
2018-05-07,80655.33
2018-05-08,67324.17
2018-05-09,69197.28
2018-05-10,82434.08
2018-05-11,60045.55
2018-05-12,44716.23
2018-05-13,46389.06
2018-05-14,75197.04
2018-05-15,79939.48
2018-05-16,80312.09
2018-05-17,43471.82
2018-05-18,47501.96
2018-05-19,35013.66
2018-05-20,29614.91
2018-05-21,41696.24
2018-05-22,55491.59
2018-05-23,25213.08
2018-05-24,27746.54
2018-05-25,31744.489999999998
2018-05-26,22477.56
2018-05-27,16482.08
2018-05-28,40648.26
2018-05-29,36424.9
2018-05-30,30821.010000000002
2018-05-31,34252.98
2018-06-01,65404.79
2018-06-02,32048.3
2018-06-03,39125.54
2018-06-04,40467.77
2018-06-05,54818.27
2018-06-06,45097.55
2018-06-07,52537.72
2018-06-08,42031.68
2018-06-09,41632.6
2018-06-10,36157.42
2018-06-11,76270.14
2018-06-12,57288.04
2018-06-13,53609.94
2018-06-14,38063.21
2018-06-15,37314.78
2018-06-16,32244.55
2018-06-17,25318.22
2018-06-18,51176.81
2018-06-19,50831.47
2018-06-20,45892.07
2018-06-21,39979.85
2018-06-22,35509.02
2018-06-23,25543.8
2018-06-24,33656.35
2018-06-25,53705.66
2018-06-26,52712.55
2018-06-27,39202.96
2018-06-28,49568.37
2018-06-29,30105.27
2018-06-30,21277.47
2018-07-01,39158.69
2018-07-02,48153.14
2018-07-03,41207.09
2018-07-04,50139.58
2018-07-05,49744.71
2018-07-06,24405.399999999998
2018-07-07,14291.8
2018-07-08,22526.93
2018-07-09,25022.49
2018-07-10,26297.79
2018-07-11,27844.81
2018-07-12,39251.58
2018-07-13,39316.44
2018-07-14,29040.98
2018-07-15,59075.52
2018-07-16,42877.87
2018-07-17,41864.37
2018-07-18,62570.33
2018-07-19,56462.12
2018-07-20,46923.72
2018-07-21,29168.63
2018-07-22,48242.63
2018-07-23,60158.0
2018-07-24,53877.28
2018-07-25,69513.13
2018-07-26,55103.47
2018-07-27,40824.04
2018-07-28,44894.6
2018-07-29,40472.22
2018-07-30,52304.07
2018-07-31,73817.51
2018-08-01,58697.04
2018-08-02,54494.07
2018-08-03,58045.93
2018-08-04,48190.46
2018-08-05,51253.92
2018-08-06,89915.05
2018-08-07,88963.27
2018-08-08,71635.12
2018-08-09,55743.22
2018-08-10,43753.46
2018-08-11,36841.65
2018-08-12,52302.26
2018-08-13,53278.95
2018-08-14,58731.14
2018-08-15,59078.03
2018-08-16,50180.48
2018-08-17,45600.36
2018-08-18,30375.69
2018-08-19,34945.68
2018-08-20,48283.31
2018-08-21,34085.45
2018-08-22,29452.6
2018-08-23,22317.68
2018-08-24,14322.22
2018-08-25,12768.89
2018-08-26,10496.35
2018-08-27,6720.78
2018-08-28,5012.7
2018-08-29,4262.66
2018-09-03,166.46
