date,daily_sales
2017-10-08,16653.48
2017-10-09,22917.54
2017-10-10,22529.63
2017-10-11,20551.32
2017-10-12,20001.87
2017-10-13,15767.65
2017-10-14,13829.74
2017-10-15,16280.38
2017-10-16,27088.25
2017-10-17,27366.83
2017-10-18,31506.53
2017-10-19,21014.27
2017-10-20,16244.36
2017-10-21,14476.86
2017-10-22,20646.35
2017-10-23,22375.63
2017-10-24,22287.579999999998
2017-10-25,17610.170000000002
2017-10-26,18513.07
2017-10-27,16542.98
2017-10-28,10879.31
2017-10-29,17994.52
2017-10-30,18399.93
2017-10-31,21422.85
2017-11-01,12259.95
2017-11-02,18850.96
2017-11-03,18814.56
2017-11-04,13165.78
2017-11-05,16523.72
2017-11-06,21953.67
2017-11-07,20263.46
2017-11-08,20611.33
2017-11-09,27220.59
2017-11-10,21615.72
2017-11-11,19812.78
2017-11-12,19443.71
2017-11-13,30110.32
2017-11-14,27339.23
2017-11-15,25249.18
2017-11-16,26833.73
2017-11-17,26031.01
2017-11-18,23111.28
2017-11-19,20225.07
2017-11-20,28533.14
2017-11-21,28424.57
2017-11-22,25551.64
2017-11-23,39031.479999999996
2017-11-24,157182.41
2017-11-25,62902.96
2017-11-26,51698.68
2017-11-27,57825.46
2017-11-28,50761.32
2017-11-29,43253.46
2017-11-30,31570.41
2017-12-01,38572.03
2017-12-02,29445.03
2017-12-03,30407.25
2017-12-04,46058.87
2017-12-05,35946.8
2017-12-06,35938.48
2017-12-07,30782.71
2017-12-08,27087.95
2017-12-09,18367.72
2017-12-10,23271.58
2017-12-11,36301.97
2017-12-12,32923.38
2017-12-13,32261.53
2017-12-14,23394.16
2017-12-15,24461.39
2017-12-16,16136.34
2017-12-17,16464.22
2017-12-18,28999.4
2017-12-19,23847.03
2017-12-20,24362.49
2017-12-21,17130.34
2017-12-22,14825.99
2017-12-23,13906.11
2017-12-24,6848.12
2017-12-25,12303.01
2017-12-26,19066.98
2017-12-27,20057.13
2017-12-28,17274.44
2017-12-29,17191.4
2017-12-30,12526.85
2017-12-31,7958.650000000001
2018-01-01,9615.29
2018-01-02,26957.920000000002
2018-01-03,29855.45
2018-01-04,33280.51
2018-01-05,30398.88
2018-01-06,30935.18
2018-01-07,23113.65
2018-01-08,35590.19
2018-01-09,27982.43
2018-01-10,35225.59
2018-01-11,28903.56
2018-01-12,34348.42
2018-01-13,29847.14
2018-01-14,27496.02
2018-01-15,37632.72
2018-01-16,43356.9
2018-01-17,33905.85
2018-01-18,30192.2
2018-01-19,31920.67
2018-01-20,23898.32
2018-01-21,23580.39
2018-01-22,36919.96
2018-01-23,35144.63
2018-01-24,32614.87
2018-01-25,30770.14
2018-01-26,32318.39
2018-01-27,21189.920000000002
2018-01-28,18797.92
2018-01-29,33784.64
2018-01-30,33325.3
2018-01-31,31781.93
2018-02-01,26835.28
2018-02-02,27780.06
2018-02-03,24499.43
2018-02-04,26579.579999999998
2018-02-05,36551.26
2018-02-06,36544.69
2018-02-07,34501.45
2018-02-08,26861.52
2018-02-09,27433.82
2018-02-10,22414.31
2018-02-11,19153.25
2018-02-12,25660.510000000002
2018-02-13,33269.15
2018-02-14,42462.24
2018-02-15,33999.36
2018-02-16,30533.47
2018-02-17,24616.52
2018-02-18,25335.79
